Team name,Discord Channel,Engineering manager,Engineers,Product manager,XFN Partners,Child teams,Parent team,Designer
Robotics team,,,,,,,Product team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Product%20team%20179ba1e6acb74da7a81b7b5c2662aeb5.html),
Data team,,,,,,"Data engineering (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Data%20engineering%2042dc4759a1c64e55b49436ec5b2b64aa.html), Data science (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Data%20science%208e22c5e3377345abab11524ce62db2c6.html), Data analysis (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Data%20analysis%20a6f04d504fd347ca90152cacd86b8927.html)",Product team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Product%20team%20179ba1e6acb74da7a81b7b5c2662aeb5.html),
Infrastructure team,,,,,,"Deployment (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Deployment%20d679b46061fc4a6ead64d45eb3202887.html), Observability (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Observability%20ae217ba9ae2f452e9b76c930240ae1db.html)",Product team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Product%20team%20179ba1e6acb74da7a81b7b5c2662aeb5.html),
Product team,,,,,,"Web app team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Web%20app%20team%2005318e11202f47e88bed6caa39ac031b.html), Robotics team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Robotics%20team%2071675ec532d14b8fa9171ff183d2b2b7.html), Data team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Data%20team%20f64e5184963a4b29a4f2d17b1e4360c7.html), Infrastructure team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Infrastructure%20team%2094e585a9bda54aa5b6d49508b7f39484.html)",,
Web app team,,,,,,"Public API (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Public%20API%20c29fc9209a874e4db802dd16c498713d.html), Mobile (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Mobile%20d8f7ae665c3a405bb07e683386468917.html)",Product team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Product%20team%20179ba1e6acb74da7a81b7b5c2662aeb5.html),
Mobile,#eng-mobile,Sohrab Amin,"Stephanie Hagio Chin, Zoe Ludwig, Pierre-Auguste Renoir",,Ben Lang,,Web app team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Web%20app%20team%2005318e11202f47e88bed6caa39ac031b.html),Pierre-Auguste Renoir
Public API,#eng-api,Andrea Lim,"Stephanie Hagio Chin, Pierre-Auguste Renoir, Mary Cassatt, Ben Lang, Ben Smith",David Tibbitts,Nate Martins,,Web app team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Web%20app%20team%2005318e11202f47e88bed6caa39ac031b.html),Berthe Morisot
Data engineering,#eng-data-engineering,Nate Martins,"David Tibbitts, Ben Lang",Mary Cassatt,,,Data team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Data%20team%20f64e5184963a4b29a4f2d17b1e4360c7.html),
Data science,#eng-data-science,Nate Martins,"Zoe Ludwig, Ben Smith, Sohrab Amin",Edgar Degas,,,Data team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Data%20team%20f64e5184963a4b29a4f2d17b1e4360c7.html),
Data analysis,#eng-data-analysis,Nate Martins,"Andrea Lim, Ben Smith",Berthe Morisot,"Ben Lang, Stephanie Hagio Chin",,Data team (Org%20Chart%202749be72915a4b29af113d91e735062f/Org%20Structure%208c12fad828f1404cb2339cc341f0ccdf/Data%20team%20f64e5184963a4b29a4f2d17b1e4360c7.html),
